class,confidence,x,y,w,h
person,0.8698540329933167,798,561,81,205
person,0.8663159012794495,665,552,87,215
person,0.8511189818382263,564,545,97,222
person,0.7952067255973816,426,547,95,220
person,0.6641424298286438,1287,539,79,226
person,0.585363507270813,185,552,88,213
person,0.5473216772079468,343,553,55,200
person,0.5187163352966309,265,557,90,209
person,0.516898512840271,98,543,91,220
person,0.40786492824554443,0,532,53,230
person,0.3022229075431824,762,573,26,91
